trial,FINCH_ACC,FINCH_NMI,FINCH_Num_Clusters,KMeans_ACC,KMeans_NMI,KMeans_Num_Clusters
0,0.60475,0.7544161453145746,43.0,0.53475,0.6816462880361165,40.0
1,0.55575,0.7240407948467307,44.0,0.55175,0.6637259353708279,40.0
2,0.599,0.7545408658917644,50.0,0.542,0.6681442799068203,40.0
3,0.5375,0.7173144783386103,38.0,0.511,0.6585381738641477,40.0
4,0.546,0.7046470195804457,49.0,0.5365,0.6326679814025803,40.0
0,0.607,0.747733527232529,37.0,0.53475,0.6816462880361165,40.0
1,0.5795,0.7223225828512535,47.0,0.55175,0.6637259353708279,40.0
2,0.6405,0.7653541663794208,49.0,0.542,0.6681442799068203,40.0
3,0.572,0.7235418926977488,36.0,0.511,0.6585381738641477,40.0
4,0.5255,0.7016515126099785,48.0,0.5365,0.6326679814025803,40.0
Average,0.57675,0.7315562985743056,44.1,0.5352,0.6609445317160986,40.0
