Epoch,Partition 0,Partition 1,Partition 2,Partition 3,Partition 4
1,222,49,11,2,
2,225,53,14,5,
3,219,44,10,2,
4,222,45,12,3,
5,213,47,11,3,
6,213,48,14,5,
7,217,48,13,4,
8,222,49,11,3,
9,224,46,12,3,
10,215,46,12,3,
11,218,40,9,2,
12,220,47,13,3,
13,218,50,12,3,
14,215,49,14,4,
15,218,52,14,4,
16,219,49,16,4,
17,214,46,12,5,
18,216,48,14,5,
19,220,42,14,4,
20,218,40,11,4,
21,219,42,12,3,
22,221,44,14,5,2.0
23,221,46,13,4,
24,217,42,10,4,
25,219,40,11,4,
26,219,42,12,5,
27,220,42,13,4,
28,218,44,14,5,
29,225,49,13,4,
30,221,51,15,6,
31,220,48,11,3,
32,216,49,14,5,
33,219,50,13,3,
34,218,49,14,4,
35,218,42,10,3,
36,223,48,14,6,
37,222,47,14,6,
38,222,47,14,6,
39,222,47,14,6,
40,222,47,14,6,
41,222,47,14,6,
42,222,47,14,6,
43,222,47,14,6,
44,222,47,14,6,
45,222,47,14,6,
46,222,47,14,6,
47,222,47,14,6,
48,222,47,14,6,
49,222,47,14,6,
50,222,47,14,6,
